"First Name","Last Name","Den Type","Den Number","Quantity","SKU","Item Type","Price","Item Name","Date Earned"
"Liam","Carter","lions","2","1","646404","Adventure","2.19","Fun on the Run Adventure","2025-11-15"
"Liam","Carter","lions","2","1","646406","Adventure","2.19","Mountain Lion Adventure","2025-12-10"
"Liam","Carter","lions","2","1","660186","Adventure","2.19","Lion's Pride Adventure","2026-01-20"
"Noah","Prescott","lions","2","1","660223","Adventure","2.19","Archery (Lion) Adventure","2025-12-06"
"Noah","Prescott","lions","2","1","646407","Adventure","2.19","King of the Jungle Adventure","2026-01-15"
"Noah","Prescott","lions","2","1","660224","Adventure","2.19","Slingshot (Lion) Adventure","2025-12-06"
"Noah","Prescott","lions","2","1","646402","Adventure","2.19","Build It Up, Knock It Down Adventure","2026-01-28"
"Emma","Voss","tigers","4","1","660236","Adventure","2.19","Archery (Tiger) Adventure","2025-12-06"
"Emma","Voss","tigers","4","1","660235","Adventure","2.19","BB (Tiger) Adventure","2025-12-06"
"Emma","Voss","tigers","4","1","619920","Adventure","2.19","Rolling Tigers Adventure","2025-12-20"
"Emma","Voss","tigers","4","1","660237","Adventure","2.19","Slingshot (Tiger) Adventure","2025-12-06"
"Emma","Voss","tigers","4","1","619918","Adventure","2.19","Tiger Circles Adventure","2026-01-10"
"Caleb","Tanaka","tigers","4","1","619914","Adventure","2.19","Team Tiger Adventure","2026-01-18"
"Caleb","Tanaka","tigers","4","1","619919","Adventure","2.19","Safe and Smart Adventure","2025-12-22"
"Caleb","Tanaka","tigers","4","1","660228","Adventure","2.19","Tigers in the Water Adventure","2026-01-25"
"Maya","Okonkwo","wolves","6","1","660250","Adventure","2.19","Archery (Wolf) Adventure","2025-12-06"
"Maya","Okonkwo","wolves","6","1","660249","Adventure","2.19","BB (Wolf) Adventure","2025-12-06"
"Maya","Okonkwo","wolves","6","1","660251","Adventure","2.19","Slingshot (Wolf) Adventure","2025-12-06"
"Maya","Okonkwo","wolves","6","1","660238","Adventure","2.19","Bobcat (Wolf) Adventure","2026-01-12"
"Maya","Okonkwo","wolves","6","1","619933","Adventure","2.19","Council Fire Adventure","2026-01-18"
"Ethan","Cho","wolves","6","1","619936","Adventure","2.19","Running With the Pack Adventure","2026-01-05"
"Ethan","Cho","wolves","6","1","660250","Adventure","2.19","Archery (Wolf) Adventure","2025-12-06"
"Sophie","Brennan","bears","8","1","660263","Adventure","2.19","Archery (Bear) Adventure","2025-12-06"
"Sophie","Brennan","bears","8","1","660262","Adventure","2.19","BB (Bears) Adventure","2025-12-06"
"Sophie","Brennan","bears","8","1","660254","Adventure","2.19","Bear Strong Adventure","2026-01-18"
"Sophie","Brennan","bears","8","1","619956","Adventure","2.19","Fellowship Adventure","2025-11-22"
"Sophie","Brennan","bears","8","1","619955","Adventure","2.19","Paws for Action Adventure","2026-01-20"
"Sophie","Brennan","bears","8","1","660264","Adventure","2.19","Slingshot (Bear) Adventure","2025-12-06"
"Jackson","Reeves","bears","8","1","619961","Adventure","2.19","A Bear Goes Fishing Adventure","2025-10-25"
"Jackson","Reeves","bears","8","1","660263","Adventure","2.19","Archery (Bear) Adventure","2025-12-06"
"Jackson","Reeves","bears","8","1","660262","Adventure","2.19","BB (Bears) Adventure","2025-12-06"
"Ava","Delgado","webelos","1","1","660279","Adventure","2.79","Archery (Webelos) Adventure","2025-12-06"
"Ava","Delgado","webelos","1","1","660278","Adventure","2.79","BB Gun (Webelos) Adventure","2025-12-06"
"Ava","Delgado","webelos","1","1","660266","Adventure","2.79","My Community Adventure","2025-12-14"
"Ava","Delgado","webelos","1","1","619985","Adventure","2.49","My Safety Adventure","2026-01-11"
"Ava","Delgado","webelos","1","1","660280","Adventure","2.79","Slingshot (Webelos) Adventure","2025-12-06"
"Oliver","Park","webelos","1","1","660265","Adventure","2.79","Bobcat (Webelos) Adventure","2026-01-08"
"Oliver","Park","webelos","1","1","619985","Adventure","2.49","My Safety Adventure","2026-01-11"
"Oliver","Park","webelos","1","1","660273","Adventure","2.79","Tech on the Trail Adventure","2025-12-31"
"Oliver","Park","webelos","1","1","619987","Adventure","2.79","Webelos Walkabout Adventure","2025-12-31"
"Zara","Mitchell","aol","3","1","660403","Adventure","2.79","Citizenship Adventure","2025-12-14"
"Zara","Mitchell","aol","3","1","619974","Adventure","2.79","Duty to God Adventure","2026-01-31"
"Zara","Mitchell","aol","3","1","660282","Adventure","2.79","First Aid Adventure","2026-01-11"
"Zara","Mitchell","aol","3","1","619972","Adventure","2.79","Outdoor Adventurer Adventure","2026-01-04"
"Zara","Mitchell","aol","3","1","660290","Adventure","2.79","Swimming Adventure","2025-07-15"
"Diego","Flynn","aol","3","1","660403","Adventure","2.79","Citizenship Adventure","2026-01-25"
"Diego","Flynn","aol","3","1","660282","Adventure","2.79","First Aid Adventure","2026-01-11"
